"","job","firm","functional_area","type","link"
"185","Marketing Executive | Forensic & Litigation Consulting","FTI Consulting","Marketing","Job","https://www.consultancy.uk/jobs/35803/fti-consulting/marketing-executive-forensic-litigation-consulting"
"186","Cloud Operating Model - Consultant / Senior Consultant (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job","https://www.consultancy.uk/jobs/39760/capgemini-invent/cloud-operating-model-consultant-senior-consultant-londonmanchesterglasgow"
"187","PR Manager","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40140/pa-consulting/pr-manager"
"188","Financial Services Advisory | Manager | Banking (Corporate Banking Operations)","PwC","Unknown","Job","https://www.consultancy.uk/jobs/37340/pwc/financial-services-advisory-manager-banking-corporate-banking-operations"
"189","Executive Assistant, Business Transformation, London","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35704/fti-consulting/executive-assistant-business-transformation-london"
"190","Cloud Economics - Consultant / Senior Consultant (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job","https://www.consultancy.uk/jobs/39757/capgemini-invent/cloud-economics-consultant-senior-consultant-londonmanchesterglasgow"
"191","Director, Managed Document Review | Technology","FTI Consulting","IT Strategy","Job","https://www.consultancy.uk/jobs/35707/fti-consulting/director-managed-document-review-technology"
"192","Finance Associate - Accounts Payable, 12 month contract","PA Consulting","Finance","Job","https://www.consultancy.uk/jobs/40143/pa-consulting/finance-associate-accounts-payable-12-month-contract"
"193","Advisory - Asset & Wealth Management - Senior Manager","PwC","Management","Job","https://www.consultancy.uk/jobs/36652/pwc/advisory-asset-wealth-management-senior-manager"
"194","Strategy& - Strategy Senior Manager I Dublin","PwC","Strategy","Job","https://www.consultancy.uk/jobs/35794/pwc/strategy-strategy-senior-manager-i-dublin"
"195","EMEA Benefits Manager | Human Resources | Core Operations","FTI Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/35656/fti-consulting/emea-benefits-manager-human-resources-core-operations"
"196","Cloud Strategy - Consultant / Senior Consultant (London/Manchester/Glasgow)","Capgemini Invent","Strategy","Job","https://www.consultancy.uk/jobs/39763/capgemini-invent/cloud-strategy-consultant-senior-consultant-londonmanchesterglasgow"
"197","Lead Software Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40149/pa-consulting/lead-software-engineer"
"198","Manager/Senior Manager - Energy & Utilities - Water (London/Manchester/Glasgow)","Capgemini Invent","Unknown","Job","https://www.consultancy.uk/jobs/39871/capgemini-invent/managersenior-manager-energy-utilities-water-londonmanchesterglasgow"
"199","Senior Consultant, Transaction Advisory Services | Corporate Finance & Restructuring","FTI Consulting","Corporate Finance","Job","https://www.consultancy.uk/jobs/35638/fti-consulting/senior-consultant-transaction-advisory-services-corporate-finance-restructuring"
"200","Dynamics 365 CRM Developer","PA Consulting","CRM","Job","https://www.consultancy.uk/jobs/40167/pa-consulting/dynamics-365-crm-developer"
"201","Cloud Security Senior Manager | Cyber Advisory | Dublin or Cork","PwC","Cyber Security","Job","https://www.consultancy.uk/jobs/35924/pwc/cloud-security-senior-manager-cyber-advisory-dublin-or-cork"
"202","Commercial & Procurement Specialist","PA Consulting","Procurement","Job","https://www.consultancy.uk/jobs/40023/pa-consulting/commercial-procurement-specialist"
"203","Financial Services - Advisory | Senior Manager | Dublin or Cork","PwC","Unknown","Job","https://www.consultancy.uk/jobs/35800/pwc/financial-services-advisory-senior-manager-dublin-or-cork"
"204","Content Designer - Digital Factory (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job","https://www.consultancy.uk/jobs/39382/capgemini-invent/content-designer-digital-factory-londonmanchesterglasgow"
"205","HR Business Partner (15 month FTC maternity cover)","FTI Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/35635/fti-consulting/hr-business-partner-15-month-ftc-maternity-cover"
"206","AWS DevOps Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40176/pa-consulting/aws-devops-engineer"
"207","Senior Director | Sustainability Communications | Strategic Communications | London","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35614/fti-consulting/senior-director-sustainability-communications-strategic-communications-london"
"208","Manager/Senior Manager - Energy & Utilities - Water (Glasgow)","Capgemini Invent","Unknown","Job","https://www.consultancy.uk/jobs/40499/capgemini-invent/managersenior-manager-energy-utilities-water-glasgow"
"209","Specialist - Advisory Operate - Dublin/Cork, Ireland","PwC","Unknown","Job","https://www.consultancy.uk/jobs/32714/pwc/specialist-advisory-operate-dublincork-ireland"
"210","Executive Assistant (9-month Fixed Term Maternity Contract) | Financial & Professional Services | Strategic Communications","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/35770/fti-consulting/executive-assistant-9-month-fixed-term-maternity-contract-financial-professional-services-strategic-communications"
"211","AWS Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/39847/pa-consulting/aws-engineer"
"212","Technical Business Analyst | Senior Associate | Technology Consulting | Advisory Dublin/Cork","PwC","IT Strategy","Job","https://www.consultancy.uk/jobs/33179/pwc/technical-business-analyst-senior-associate-technology-consulting-advisory-dublincork"
"213","Full Stack Engineer Consultant (London/Manchester/Glasgow)","Capgemini Invent","Unknown","Job","https://www.consultancy.uk/jobs/39526/capgemini-invent/full-stack-engineer-consultant-londonmanchesterglasgow"
"214","Senior Legal Counsel | Legal & Risk | Core Operations","FTI Consulting","Risk & Compliance","Job","https://www.consultancy.uk/jobs/35611/fti-consulting/senior-legal-counsel-legal-risk-core-operations"
"215","Management Consultant -Retail Commercial Transformation - London/Manchester/Glasgow","Capgemini Invent","Management","Job","https://www.consultancy.uk/jobs/40128/capgemini-invent/management-consultant-retail-commercial-transformation-londonmanchesterglasgow"
"216","AWS Data Engineer","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40242/pa-consulting/aws-data-engineer"
"217","Technology Consulting | Senior Associate | Advisory | Dublin/Cork","PwC","IT Strategy","Job","https://www.consultancy.uk/jobs/32652/pwc/technology-consulting-senior-associate-advisory-dublincork"
"218","GCP Cloud Architect","PA Consulting","Cloud","Job","https://www.consultancy.uk/jobs/39673/pa-consulting/gcp-cloud-architect"
"219","Legal Counsel (12 month FTC)| Legal & Risk | Core Operations","FTI Consulting","Risk & Compliance","Job","https://www.consultancy.uk/jobs/35608/fti-consulting/legal-counsel-12-month-ftc-legal-risk-core-operations"
"220","Technology Consulting | Senior Associate, Manager & Senior Manager | Advisory | Cork","PwC","IT Strategy","Job","https://www.consultancy.uk/jobs/32253/pwc/technology-consulting-senior-associate-manager-senior-manager-advisory-cork"
"221","Senior Support Enginner","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40239/pa-consulting/senior-support-enginner"
"222","Sustainable Finance Regulation Implementation | Manager Consulting | Dublin or Cork","PwC","Finance","Job","https://www.consultancy.uk/jobs/31243/pwc/sustainable-finance-regulation-implementation-manager-consulting-dublin-or-cork"
"223","Director, Forensic Accounting Advisory Services | Forensic and Litigation Consulting","FTI Consulting","Forensic & Litigation","Job","https://www.consultancy.uk/jobs/35632/fti-consulting/director-forensic-accounting-advisory-services-forensic-and-litigation-consulting"
"224","Supply Chain Senior Manager | Advisory Consulting | Dublin/Cork","PwC","Supply Chain","Job","https://www.consultancy.uk/jobs/31231/pwc/supply-chain-senior-manager-advisory-consulting-dublincork"
"225","Senior Consultant | Forensic Accounting Advisory Services | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job","https://www.consultancy.uk/jobs/35629/fti-consulting/senior-consultant-forensic-accounting-advisory-services-forensic-litigation-consulting"
"226","DevOps Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/39948/pa-consulting/devops-engineer"
"227","Director | Financial Services, Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35602/fti-consulting/director-financial-services-strategic-communications"
"228","Advisory Senior Associates | Portfolio and Programme Management Dublin","PwC","Management","Job","https://www.consultancy.uk/jobs/31225/pwc/advisory-senior-associates-portfolio-and-programme-management-dublin"
"229","QA Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/38377/pa-consulting/qa-engineer"
"230","Technology Solution Architect | Manager | Advisory Consulting - Dublin/Cork","PwC","IT Strategy","Job","https://www.consultancy.uk/jobs/31213/pwc/technology-solution-architect-manager-advisory-consulting-dublincork"
"231","Marketing Executive | Communications & Marketing | Core Operations","FTI Consulting","Marketing","Job","https://www.consultancy.uk/jobs/35605/fti-consulting/marketing-executive-communications-marketing-core-operations"
"232","Lead Software Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40137/pa-consulting/lead-software-engineer"
"233","Support Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40236/pa-consulting/support-engineer"
"234","Consultant | Financial Services, Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35599/fti-consulting/consultant-financial-services-strategic-communications"
"235","Pre-Sales Application Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40251/pa-consulting/pre-sales-application-engineer"
"236","Consultant | Energy | Strategic Communications","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/35590/fti-consulting/consultant-energy-strategic-communications"
"237","Consultant | Technology, Media & Telecom, Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35581/fti-consulting/consultant-technology-media-telecom-strategic-communications"
"238","MC - AWS Pre-Sales - Alliance","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40269/pa-consulting/mc-aws-pre-sales-alliance"
"239","Consultant - Economics, Econometrics and Disputes | Economic & Financial Consulting","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35584/fti-consulting/consultant-economics-econometrics-and-disputes-economic-financial-consulting"
"240","IT Sourcing Consultant","PA Consulting","Procurement","Job","https://www.consultancy.uk/jobs/40248/pa-consulting/it-sourcing-consultant"
"241","MC - Intellectual Property Advisory - Networks","PA Consulting","Property Management","Job","https://www.consultancy.uk/jobs/40263/pa-consulting/mc-intellectual-property-advisory-networks"
"242","Executive Assistant (12 Months FTC)| People and Transformation, Strategic Communications","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/35578/fti-consulting/executive-assistant-12-months-ftc-people-and-transformation-strategic-communications"
"243","Director | Financial Services, Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35575/fti-consulting/director-financial-services-strategic-communications"
"244","Operational Resilience Consultant - Financial Services","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/38710/pa-consulting/operational-resilience-consultant-financial-services"
"245","Senior HR Advisor | Human Resources | Core Operations","FTI Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/35572/fti-consulting/senior-hr-advisor-human-resources-core-operations"
"246","Cloud security Architect","PA Consulting","Cyber Security","Job","https://www.consultancy.uk/jobs/39688/pa-consulting/cloud-security-architect"
"247","Lead Software Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40146/pa-consulting/lead-software-engineer"
"248","Executive Assistant (12 months fixed term contract)| Economic and Financial Consulting","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35566/fti-consulting/executive-assistant-12-months-fixed-term-contract-economic-and-financial-consulting"
"249","Digital Campaigns and Social Media Lead","PA Consulting","Digital","Job","https://www.consultancy.uk/jobs/39939/pa-consulting/digital-campaigns-and-social-media-lead"
"250","Senior Advisor | Human Resources | Core Operations","FTI Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/35569/fti-consulting/senior-advisor-human-resources-core-operations"
"251","Data Privacy Specialist","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/38512/pa-consulting/data-privacy-specialist"
"252","Consultant | Financial Services, Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35563/fti-consulting/consultant-financial-services-strategic-communications"
"253","Senior Consultant, e-Discovery | Technology","FTI Consulting","IT Strategy","Job","https://www.consultancy.uk/jobs/35560/fti-consulting/senior-consultant-e-discovery-technology"
"254","DevOps Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40278/pa-consulting/devops-engineer"
"255","Workday HCM Lead","PA Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/40293/pa-consulting/workday-hcm-lead"
"256","Senior Consultant, Restructuring Tax","FTI Consulting","Restructuring","Job","https://www.consultancy.uk/jobs/35551/fti-consulting/senior-consultant-restructuring-tax"
"257","Consultant/Senior Consultant, Data Science","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/35548/fti-consulting/consultantsenior-consultant-data-science"
"258","Customer Success & Support Manager","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40299/pa-consulting/customer-success-support-manager"
"259","Senior Director | ESG, Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/34989/fti-consulting/senior-director-esg-strategic-communications"
"260","Service Desk Analyst","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40320/pa-consulting/service-desk-analyst"
"261","Project Assistant, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job","https://www.consultancy.uk/jobs/35737/fti-consulting/project-assistant-business-intelligence-forensic-litigation-consulting"
"262","Sourcing and Procurement Consultant","PA Consulting","Procurement","Job","https://www.consultancy.uk/jobs/40329/pa-consulting/sourcing-and-procurement-consultant"
"263","Accounts Assistant","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40041/pa-consulting/accounts-assistant"
"264","Senior Consultant/Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/34883/fti-consulting/senior-consultantconsultant-valuations-disputes-and-arbitration-economic-and-financial-consulting"
"265","UX/UI Designer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40359/pa-consulting/uxui-designer"
"266","Consultant - Valuations, Disputes and Arbitration | Economic and Financial Consulting","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/34880/fti-consulting/consultant-valuations-disputes-and-arbitration-economic-and-financial-consulting"
"267","Lead UX/UI Designer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40356/pa-consulting/lead-uxui-designer"
"268","Global Data Privacy Director","FTI Consulting","Data Science","Job","https://www.consultancy.uk/jobs/34877/fti-consulting/global-data-privacy-director"
"269","Senior/Principal Fraud Consultant","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40377/pa-consulting/seniorprincipal-fraud-consultant"
"270","Manager, Risk and Compliance | Legal |Core Operations","FTI Consulting","Risk & Compliance","Job","https://www.consultancy.uk/jobs/34808/fti-consulting/manager-risk-and-compliance-legal-core-operations"
"271","Senior Consultant, Life Actuarial Consulting | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job","https://www.consultancy.uk/jobs/34614/fti-consulting/senior-consultant-life-actuarial-consulting-forensic-litigation-consulting"
"272","Hydrogen Technology Expert","PA Consulting","IT Strategy","Job","https://www.consultancy.uk/jobs/40374/pa-consulting/hydrogen-technology-expert"
"273","Director, Digital Forensics | Technology","FTI Consulting","Digital","Job","https://www.consultancy.uk/jobs/34599/fti-consulting/director-digital-forensics-technology"
"274","Global Performance Appraisal Specialist","PA Consulting","Performance Management","Job","https://www.consultancy.uk/jobs/40391/pa-consulting/global-performance-appraisal-specialist"
"275","Penetration Tester","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40388/pa-consulting/penetration-tester"
"276","Consultant | Digital and Insights | Strategic Communications","FTI Consulting","Digital","Job","https://www.consultancy.uk/jobs/34542/fti-consulting/consultant-digital-and-insights-strategic-communications"
"277","Senior Recruiter | Core Operations","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35695/fti-consulting/senior-recruiter-core-operations"
"278","Penetration Tester","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40385/pa-consulting/penetration-tester"
"279","Corporate Accountant, Finance & Accounting | Core Operations","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/34512/fti-consulting/corporate-accountant-finance-accounting-core-operations"
"280","Senior Financial Crime Transformation Consultant","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40382/pa-consulting/senior-financial-crime-transformation-consultant"
"281","EMEA Senior Recruiter | Core Ops","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/34485/fti-consulting/emea-senior-recruiter-core-ops"
"282","Digital Delivery Lead","PA Consulting","Digital","Job","https://www.consultancy.uk/jobs/40403/pa-consulting/digital-delivery-lead"
"283","Lead Sourcing Specialist (Talent Acquisition)","FTI Consulting","Procurement","Job","https://www.consultancy.uk/jobs/34407/fti-consulting/lead-sourcing-specialist-talent-acquisition"
"284","AWS DevOps Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40400/pa-consulting/aws-devops-engineer"
"285","Java Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/39990/pa-consulting/java-engineer"
"286","Real Estate Tax Advisory, Senior Consultant","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/33990/fti-consulting/real-estate-tax-advisory-senior-consultant"
"287","Director, Digital Science | Corporate Finance & Restructuring","FTI Consulting","Corporate Finance","Job","https://www.consultancy.uk/jobs/35536/fti-consulting/director-digital-science-corporate-finance-restructuring"
"288","AWS Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40394/pa-consulting/aws-engineer"
"289","Managing Director Digital Delivery/Transformation | Corporate Finance & Restructuring","FTI Consulting","Corporate Finance","Job","https://www.consultancy.uk/jobs/33747/fti-consulting/managing-director-digital-deliverytransformation-corporate-finance-restructuring"
"290","Java Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40397/pa-consulting/java-engineer"
"291","Conduct Risk Consultant – Risk & Regulation","PA Consulting","Risk & Compliance","Job","https://www.consultancy.uk/jobs/39667/pa-consulting/conduct-risk-consultant-risk-regulation"
"292","Managing Director | Forensic Accounting & Advisory Services, Forensic & Litigation Consulting","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/33567/fti-consulting/managing-director-forensic-accounting-advisory-services-forensic-litigation-consulting"
"293","HR Business Partner, Human Resources | Core Operations","FTI Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/33708/fti-consulting/hr-business-partner-human-resources-core-operations"
"294","Financial Crime Technology Consultant","PA Consulting","IT Strategy","Job","https://www.consultancy.uk/jobs/40415/pa-consulting/financial-crime-technology-consultant"
"295","Software Development Consultant Apprentice","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40332/pa-consulting/software-development-consultant-apprentice"
"296","Senior Consultant | Capital Markets |Economic and Financial Consulting","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/33537/fti-consulting/senior-consultant-capital-markets-economic-and-financial-consulting"
"297","Consultant | Capital Markets | Economic and Financial Consulting","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/33534/fti-consulting/consultant-capital-markets-economic-and-financial-consulting"
"298","Managing Consultant - Financial Services - Insurance (non-Life)","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40430/pa-consulting/managing-consultant-financial-services-insurance-non-life"
"299","Managing Consultant - Financial Services - Life and Pensions","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40427/pa-consulting/managing-consultant-financial-services-life-and-pensions"
"300","VAT Director/Senior Director (Full-time/Part-time)","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35677/fti-consulting/vat-directorsenior-director-full-timepart-time"
"301","Senior Technical Project Administrator","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40445/pa-consulting/senior-technical-project-administrator"
"302","Director, Clean Energy | Corporate Finance & Restructuring","FTI Consulting","Corporate Finance","Job","https://www.consultancy.uk/jobs/32628/fti-consulting/director-clean-energy-corporate-finance-restructuring"
"303","Senior Consultant - People and Change - Defence & Security","PA Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/40433/pa-consulting/senior-consultant-people-and-change-defence-security"
"304","Finance Manager, LLP Accounting | Core Operations","FTI Consulting","Finance","Job","https://www.consultancy.uk/jobs/34506/fti-consulting/finance-manager-llp-accounting-core-operations"
"305","Project, Programme and Portfolio Managers and Business Case Experts - PST","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/39993/pa-consulting/project-programme-and-portfolio-managers-and-business-case-experts-pst"
"306","Senior Director, Transaction Advisory Services | Corporate Finance & Restructuring","FTI Consulting","Corporate Finance","Job","https://www.consultancy.uk/jobs/33212/fti-consulting/senior-director-transaction-advisory-services-corporate-finance-restructuring"
"307","Senior Consultant | Analytics | Strategic Communications","FTI Consulting","Data Science","Job","https://www.consultancy.uk/jobs/32619/fti-consulting/senior-consultant-analytics-strategic-communications"
"308","QA Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/39595/pa-consulting/qa-engineer"
"309","Senior Director | Data Science | Strategic Communications","FTI Consulting","Data Science","Job","https://www.consultancy.uk/jobs/32616/fti-consulting/senior-director-data-science-strategic-communications"
"310","Executive Assistant - Temp to Perm","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40457/pa-consulting/executive-assistant-temp-to-perm"
"311","Agile Consultant - Lean Portfolio Management","PA Consulting","Management","Job","https://www.consultancy.uk/jobs/40463/pa-consulting/agile-consultant-lean-portfolio-management"
"312","Legal Counsel EMEA, Legal & Risk | Core Operations","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/35533/fti-consulting/legal-counsel-emea-legal-risk-core-operations"
"313","Systems Engineering Consultant","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/39478/pa-consulting/systems-engineering-consultant"
"314","Senior Consultant (IT), Business Transformation | Corporate Finance & Restructuring","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/31117/fti-consulting/senior-consultant-it-business-transformation-corporate-finance-restructuring"
"315","International/Corporate Tax, Senior Director","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/34347/fti-consulting/internationalcorporate-tax-senior-director"
"316","Java Engineer","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40460/pa-consulting/java-engineer"
"317","Commercial Finance Project Administrator","PA Consulting","Finance","Job","https://www.consultancy.uk/jobs/40496/pa-consulting/commercial-finance-project-administrator"
"318","Consultant, Business Transformation | Corporate Finance & Restructuring","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/31105/fti-consulting/consultant-business-transformation-corporate-finance-restructuring"
"319","AWS Analytics and Machine Learning Engineer","PA Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/40493/pa-consulting/aws-analytics-and-machine-learning-engineer"
"320","Commercial Finance Project Administrator","PA Consulting","Finance","Job","https://www.consultancy.uk/jobs/40487/pa-consulting/commercial-finance-project-administrator"
"321","Data Scientist Consultant","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40511/pa-consulting/data-scientist-consultant"
"322","Group Financial Accountant","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40508/pa-consulting/group-financial-accountant"
"323","Enterprise Solutions Director","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40513/pa-consulting/enterprise-solutions-director"
"324","Cloud Security Controls Expert","PA Consulting","Cyber Security","Job","https://www.consultancy.uk/jobs/38990/pa-consulting/cloud-security-controls-expert"
"325","Senior Data Analyst","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40525/pa-consulting/senior-data-analyst"
"326","Data Manager Consultant","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40519/pa-consulting/data-manager-consultant"
"327","Senior Data Strategist","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40522/pa-consulting/senior-data-strategist"
"328","Commercial Finance Project Administrator (FTC)","PA Consulting","Finance","Job","https://www.consultancy.uk/jobs/40490/pa-consulting/commercial-finance-project-administrator-ftc"
"329","Systems Architect","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/39963/pa-consulting/systems-architect"
"330","Employment Tax Manager","PA Consulting","Finance","Job","https://www.consultancy.uk/jobs/40528/pa-consulting/employment-tax-manager"
"331","AWS Data Engineer","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/38497/pa-consulting/aws-data-engineer"
"332","Operational Technology Cyber Security Consultant","PA Consulting","IT Strategy","Job","https://www.consultancy.uk/jobs/38470/pa-consulting/operational-technology-cyber-security-consultant"
"333","Principal Data Strategist Consultant","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40537/pa-consulting/principal-data-strategist-consultant"
"334","Senior Data Manager","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40534/pa-consulting/senior-data-manager"
"335","Data Analyst Consultant","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40531/pa-consulting/data-analyst-consultant"
